year,industry,incidence_of_retrenchment
1998,manufacturing,62.9
1998,"food, beverages and tobacco",15.4
1998,textile and wearing apparel,31.1
1998,paper products and publishing,27
1998,petroleum and chemical products,30.1
1998,rubber and plastic products,62.3
1998,fabricated metal products,32.4
1998,machinery and equipment,47.7
1998,electrical products,118.7
1998,electronic products,112.9
1998,medical and precision instruments,26.6
1998,transport equipment,6
1998,other manufacturing industries,113.6
1998,construction,13
1998,services,20
1998,wholesale and retail trade,32.7
1998,wholesale trade,36.4
1998,retail trade,21.8
1998,hotels and restaurants,27.7
1998,hotels,43.5
1998,restaurants,15.1
1998,"transport, storage and communications",8.7
1998,financial intermediation,22.9
1998,financial institutions,25
1998,insurance and pension funding,7
1998,business and real estate services,18.4
1998,"community, social and personal services",5.3
1998,others,13.6
1999,manufacturing,26.9
1999,"food, beverages and tobacco",34.7
1999,textile and wearing apparel,3.1
1999,paper products and publishing,8
1999,petroleum and chemical products,18
1999,rubber and plastic products,18.3
1999,fabricated metal products,8.3
1999,machinery and equipment,14.1
1999,electrical products,31.5
1999,electronic products,56.2
1999,medical and precision instruments,8.9
1999,transport equipment,14.4
1999,other manufacturing industries,10.4
1999,construction,5
1999,services,13.3
1999,wholesale and retail trade,19.9
1999,wholesale trade,18.1
1999,retail trade,24.8
1999,hotels and restaurants,11.3
1999,hotels,23.8
1999,restaurants,3.1
1999,"transport, storage and communications",6.5
1999,financial intermediation,22.6
1999,financial institutions,24.7
1999,insurance and pension funding,4
1999,business and real estate services,12.2
1999,"community, social and personal services",3.3
1999,others,0.8
2000,manufacturing,24.9
2000,"food, beverages and tobacco",8.1
2000,paper products and printing,0.7
2000,"petroleum, chemical and pharmaceutical products",11
2000,rubber and plastic products,4
2000,fabricated metal products,8
2000,machinery and equipment,9
2000,electrical products,6.9
2000,electronic products,67.7
2000,medical and precision instruments,0.9
2000,transport equipment,5.4
2000,other manufacturing industries,11.4
2000,construction,2.3
2000,services producing industries,7.7
2000,wholesale and retail trade,7.9
2000,wholesale trade,9.6
2000,retail trade,3.5
2000,transport and storage,7.1
2000,land transport and supporting services,0.8
2000,water transport and supporting services,7.2
2000,air transport and supporting services,0.9
2000,other transport and storage services,17
2000,hotels and restaurants,8
2000,hotels,12.9
2000,restaurants,5.1
2000,information and communications,12.1
2000,broadcasting and publishing,35.3
2000,telecommunications,2.3
2000,it and other information services,6.2
2000,financial services,13.2
2000,financial institutions,14.2
2000,insurance,5
2000,real estate and leasing services,1.6
2000,professional services,10.3
2000,"legal, accounting and management services",11.8
2000,architectural and engineering services,13.2
2000,other professional services,1.5
2000,administrative and support services,1.4
2000,"community, social and personal services",1.4
2000,education,0.8
2000,"health, social and community services",0.3
2000,"other community, social and personal services",2.9
2000,others,-
2001,manufacturing,49
2001,"food, beverages and tobacco",8
2001,paper products and printing,8.7
2001,"petroleum, chemical and pharmaceutical products",16.2
2001,rubber and plastic products,79.3
2001,fabricated metal products,24.7
2001,machinery and equipment,33.1
2001,electrical products,64.4
2001,electronic products,104
2001,medical and precision instruments,27
2001,transport equipment,4.8
2001,other manufacturing industries,32.9
2001,construction,5.9
2001,services producing industries,19.1
2001,wholesale and retail trade,21.9
2001,wholesale trade,28.3
2001,retail trade,5.6
2001,transport and storage,11.5
2001,land transport and supporting services,10.8
2001,water transport and supporting services,5.6
2001,air transport and supporting services,12
2001,other transport and storage services,17
2001,hotels and restaurants,4.6
2001,hotels,2.6
2001,restaurants,6
2001,information and communications,44.4
2001,broadcasting and publishing,62.6
2001,telecommunications,16.2
2001,it and other information services,56.5
2001,financial services,34.3
2001,financial institutions,36.3
2001,insurance,17.4
2001,real estate and leasing services,3.7
2001,professional services,31.2
2001,"legal, accounting and management services",43.5
2001,architectural and engineering services,11.4
2001,other professional services,31.3
2001,administrative and support services,13.8
2001,"community, social and personal services",2.6
2001,education,1.5
2001,"health, social and community services",0.6
2001,"other community, social and personal services",5.6
2001,others,18.7
2002,manufacturing,30.4
2002,"food, beverages and tobacco",5.5
2002,paper products and printing,29.6
2002,"petroleum, chemical and pharmaceutical products",12.6
2002,rubber and plastic products,40.5
2002,fabricated metal products,44.6
2002,machinery and equipment,28.3
2002,electrical products,96.4
2002,electronic products,46.8
2002,medical and precision instruments,10.8
2002,transport equipment,4.8
2002,other manufacturing industries,23.6
2002,construction,7
2002,services producing industries,16.2
2002,wholesale and retail trade,17.4
2002,wholesale trade,21.8
2002,retail trade,6.4
2002,transport and storage,5.5
2002,land transport and supporting services,2.4
2002,water transport and supporting services,8.1
2002,air transport and supporting services,0.6
2002,other transport and storage services,10.3
2002,hotels and restaurants,6.6
2002,hotels,11.7
2002,restaurants,3.9
2002,information and communications,45.2
2002,broadcasting and publishing,35.6
2002,telecommunications,38.7
2002,it and other information services,54.8
2002,financial services,40.7
2002,financial institutions,44.1
2002,insurance,15.7
2002,real estate and leasing services,7.5
2002,professional services,18.3
2002,"legal, accounting and management services",20.4
2002,architectural and engineering services,10.2
2002,other professional services,27.2
2002,administrative and support services,5
2002,"community, social and personal services",2.7
2002,education,0.9
2002,"health, social and community services",-
2002,"other community, social and personal services",7
2002,others,15.6
2003,manufacturing,23.6
2003,"food, beverages and tobacco",11.7
2003,paper products and printing,15.4
2003,"petroleum, chemical and pharmaceutical products",13.1
2003,rubber and plastic products,33.1
2003,fabricated metal products,21.6
2003,machinery and equipment,14.4
2003,electrical products,32.3
2003,electronic products,40.4
2003,medical and precision instruments,23.4
2003,transport equipment,8.1
2003,other manufacturing industries,20.3
2003,construction,5.7
2003,services producing industries,15.2
2003,wholesale and retail trade,18.1
2003,wholesale trade,20
2003,retail trade,13.6
2003,transport and storage,22
2003,land transport and supporting services,24.6
2003,water transport and supporting services,27.4
2003,air transport and supporting services,28.6
2003,other transport and storage services,8.5
2003,hotels and restaurants,7.3
2003,hotels,12.2
2003,restaurants,5.1
2003,information and communications,23.5
2003,broadcasting and publishing,15
2003,telecommunications,18.8
2003,it and other information services,31.2
2003,financial services,23.3
2003,financial institutions,24.9
2003,insurance,11.8
2003,real estate and leasing services,4.5
2003,professional services,14.2
2003,"legal, accounting and management services",9.7
2003,architectural and engineering services,21.8
2003,other professional services,13.2
2003,administrative and support services,9.5
2003,"community, social and personal services",3.2
2003,education,2.2
2003,"health, social and community services",0.8
2003,"other community, social and personal services",6.9
2003,others,23.2
2004,manufacturing,14.7
2004,"food, beverages and tobacco",9.8
2004,paper products and printing,4
2004,"petroleum, chemical and pharmaceutical products",23.5
2004,rubber and plastic products,23.7
2004,fabricated metal products,9.1
2004,machinery and equipment,9.8
2004,electrical products,48.8
2004,electronic products,19.3
2004,medical and precision instruments,15.8
2004,transport equipment,2.5
2004,other manufacturing industries,25.5
2004,construction,3.3
2004,services producing industries,8.8
2004,wholesale and retail trade,8.9
2004,wholesale trade,10.7
2004,retail trade,5.1
2004,transport and storage,11.9
2004,land transport and supporting services,3.1
2004,water transport and supporting services,4.6
2004,air transport and supporting services,32.5
2004,other transport and storage services,4.5
2004,hotels and restaurants,9.7
2004,hotels,17.6
2004,restaurants,6.3
2004,information and communications,13.2
2004,broadcasting and publishing,15.2
2004,telecommunications,13
2004,it and other information services,12.4
2004,financial services,14.3
2004,financial institutions,15
2004,insurance,9.4
2004,real estate and leasing services,3
2004,professional services,4.9
2004,"legal, accounting and management services",5.1
2004,architectural and engineering services,5.1
2004,other professional services,3.8
2004,administrative and support services,3.5
2004,"community, social and personal services",3.8
2004,education,4.3
2004,"health, social and community services",0.3
2004,"other community, social and personal services",8.2
2004,others,28.3
2005,manufacturing,20.9
2005,"food, beverages and tobacco",5.8
2005,paper products and printing,4.4
2005,"petroleum, chemical and pharmaceutical products",6.9
2005,rubber and plastic products,39.2
2005,fabricated metal products,13.9
2005,machinery and equipment,9.9
2005,electrical products,48
2005,electronic products,43.6
2005,medical and precision instruments,8.3
2005,transport equipment,0.4
2005,other manufacturing industries,26.5
2005,construction,4.3
2005,services producing industries,5.5
2005,wholesale and retail trade,6.5
2005,wholesale trade,8.4
2005,retail trade,2.4
2005,transport and storage,3.2
2005,land transport and supporting services,1.7
2005,water transport and supporting services,2
2005,air transport and supporting services,2.5
