year,industry,occupation,job_vacancy_rate
1998,manufacturing,"professionals, managers, executives and technicians",1.8
1998,manufacturing,"clerical, sales and services workers",1.2
1998,manufacturing,"production and transport operators, cleaners and labourers",1.6
1998,"food, beverages and tobacco","professionals, managers, executives and technicians",-
1998,"food, beverages and tobacco","clerical, sales and services workers",1.3
1998,"food, beverages and tobacco","production and transport operators, cleaners and labourers",1.4
1998,textile and wearing apparel,"professionals, managers, executives and technicians",-
1998,textile and wearing apparel,"clerical, sales and services workers",-
1998,textile and wearing apparel,"production and transport operators, cleaners and labourers",4.6
1998,paper products and publishing,"professionals, managers, executives and technicians",1.5
1998,paper products and publishing,"clerical, sales and services workers",-
1998,paper products and publishing,"production and transport operators, cleaners and labourers",1.3
1998,petroleum and chemical products,"professionals, managers, executives and technicians",1.3
1998,petroleum and chemical products,"clerical, sales and services workers",-
1998,petroleum and chemical products,"production and transport operators, cleaners and labourers",1.5
1998,rubber and plastic products,"professionals, managers, executives and technicians",-
1998,rubber and plastic products,"clerical, sales and services workers",-
1998,rubber and plastic products,"production and transport operators, cleaners and labourers",1.4
1998,fabricated metal products,"professionals, managers, executives and technicians",0.9
1998,fabricated metal products,"clerical, sales and services workers",-
1998,fabricated metal products,"production and transport operators, cleaners and labourers",1.2
1998,machinery and equipment,"professionals, managers, executives and technicians",1.3
1998,machinery and equipment,"clerical, sales and services workers",-
1998,machinery and equipment,"production and transport operators, cleaners and labourers",1.8
1998,electrical products,"professionals, managers, executives and technicians",-
1998,electrical products,"clerical, sales and services workers",-
1998,electrical products,"production and transport operators, cleaners and labourers",-
1998,electronic products,"professionals, managers, executives and technicians",2.2
1998,electronic products,"clerical, sales and services workers",1.2
1998,electronic products,"production and transport operators, cleaners and labourers",1.3
1998,medical and precision instruments,"professionals, managers, executives and technicians",2.1
1998,medical and precision instruments,"clerical, sales and services workers",-
1998,medical and precision instruments,"production and transport operators, cleaners and labourers",-
1998,transport equipment,"professionals, managers, executives and technicians",2.5
1998,transport equipment,"clerical, sales and services workers",2.9
1998,transport equipment,"production and transport operators, cleaners and labourers",2.3
1998,other manufacturing industries,"professionals, managers, executives and technicians",-
1998,other manufacturing industries,"clerical, sales and services workers",-
1998,other manufacturing industries,"production and transport operators, cleaners and labourers",0.9
1998,construction,"professionals, managers, executives and technicians",1.2
1998,construction,"clerical, sales and services workers",1.1
1998,construction,"production and transport operators, cleaners and labourers",1.6
1998,services,"professionals, managers, executives and technicians",1.9
1998,services,"clerical, sales and services workers",2.6
1998,services,"production and transport operators, cleaners and labourers",1.7
1998,wholesale and retail trade,"professionals, managers, executives and technicians",1.3
1998,wholesale and retail trade,"clerical, sales and services workers",1.7
1998,wholesale and retail trade,"production and transport operators, cleaners and labourers",1.4
1998,wholesale trade,"professionals, managers, executives and technicians",1.3
1998,wholesale trade,"clerical, sales and services workers",0.9
1998,wholesale trade,"production and transport operators, cleaners and labourers",1.5
1998,retail trade,"professionals, managers, executives and technicians",1.3
1998,retail trade,"clerical, sales and services workers",2.7
1998,retail trade,"production and transport operators, cleaners and labourers",1.3
1998,hotels and restaurants,"professionals, managers, executives and technicians",2.4
1998,hotels and restaurants,"clerical, sales and services workers",4.2
1998,hotels and restaurants,"production and transport operators, cleaners and labourers",4.7
1998,hotels,"professionals, managers, executives and technicians",2.9
1998,hotels,"clerical, sales and services workers",6.7
1998,hotels,"production and transport operators, cleaners and labourers",7.4
1998,restaurants,"professionals, managers, executives and technicians",1.7
1998,restaurants,"clerical, sales and services workers",2.3
1998,restaurants,"production and transport operators, cleaners and labourers",-
1998,"transport, storage and communications","professionals, managers, executives and technicians",2.3
1998,"transport, storage and communications","clerical, sales and services workers",3
1998,"transport, storage and communications","production and transport operators, cleaners and labourers",1.5
1998,financial intermediation,"professionals, managers, executives and technicians",1.4
1998,financial intermediation,"clerical, sales and services workers",1.5
1998,financial intermediation,"production and transport operators, cleaners and labourers",1.3
1998,financial institutions,"professionals, managers, executives and technicians",1.3
1998,financial institutions,"clerical, sales and services workers",1.6
1998,financial institutions,"production and transport operators, cleaners and labourers",1.3
1998,insurance and pension funding,"professionals, managers, executives and technicians",1.9
