year,sex,industry1,industry2,employment_status,employed
2010,Male,Manufacturing,Manufacturing,Employers,10800
2010,Male,Manufacturing,Manufacturing,Employees,170500
2010,Male,Manufacturing,Manufacturing,Own Account Workers,4400
2010,Male,Manufacturing,Manufacturing,Contributing Family Workers,400
2010,Male,Construction,Construction,Employers,11000
2010,Male,Construction,Construction,Employees,62000
2010,Male,Construction,Construction,Own Account Workers,7500
2010,Male,Construction,Construction,Contributing Family Workers,200
2010,Male,Services,Wholesale And Retail Trade,Employers,20600
2010,Male,Services,Wholesale And Retail Trade,Employees,104000
2010,Male,Services,Wholesale And Retail Trade,Own Account Workers,16400
2010,Male,Services,Wholesale And Retail Trade,Contributing Family Workers,1400
2010,Male,Services,Transportation And Storage,Employers,4000
2010,Male,Services,Transportation And Storage,Employees,97800
2010,Male,Services,Transportation And Storage,Own Account Workers,44100
2010,Male,Services,Transportation And Storage,Contributing Family Workers,0
2010,Male,Services,Accommodation And Food Services,Employers,5100
2010,Male,Services,Accommodation And Food Services,Employees,46900
2010,Male,Services,Accommodation And Food Services,Own Account Workers,6800
2010,Male,Services,Accommodation And Food Services,Contributing Family Workers,1400
2010,Male,Services,Information And Communications,Employers,3800
2010,Male,Services,Information And Communications,Employees,55300
2010,Male,Services,Information And Communications,Own Account Workers,3500
2010,Male,Services,Information And Communications,Contributing Family Workers,0
2010,Male,Services,Financial And Insurance Services,Employers,1800
2010,Male,Services,Financial And Insurance Services,Employees,48200
2010,Male,Services,Financial And Insurance Services,Own Account Workers,7100
2010,Male,Services,Financial And Insurance Services,Contributing Family Workers,0
2010,Male,Services,Real Estate Services,Employers,800
2010,Male,Services,Real Estate Services,Employees,11300
2010,Male,Services,Real Estate Services,Own Account Workers,7700
2010,Male,Services,Real Estate Services,Contributing Family Workers,0
2010,Male,Services,Professional Services,Employers,7100
2010,Male,Services,Professional Services,Employees,45800
2010,Male,Services,Professional Services,Own Account Workers,5400
2010,Male,Services,Professional Services,Contributing Family Workers,100
2010,Male,Services,Administrative And Support Services,Employers,3200
2010,Male,Services,Administrative And Support Services,Employees,49100
2010,Male,Services,Administrative And Support Services,Own Account Workers,3000
2010,Male,Services,Administrative And Support Services,Contributing Family Workers,100
2010,Male,Services,Public Administration And Education,Employers,1000
2010,Male,Services,Public Administration And Education,Employees,136100
2010,Male,Services,Public Administration And Education,Own Account Workers,5500
2010,Male,Services,Public Administration And Education,Contributing Family Workers,0
2010,Male,Services,Health And Social Services,Employers,2500
2010,Male,Services,Health And Social Services,Employees,17700
