employment_rate_overall,employment_rate_ft_perm,basic_monthly_mean,basic_monthly_median,gross_monthly_mean,gross_monthly_median,gross_mthly_25_percentile,gross_mthly_75_percentile,Key
97.4,96.1,3701.0,3200.0,3727.0,3350.0,2900.0,4000.0,1
97.1,95.7,2850.0,2700.0,2938.0,2700.0,2700.0,2900.0,2
90.9,85.7,3053.0,3000.0,3214.0,3000.0,2700.0,3500.0,3
87.5,87.5,3557.0,3400.0,3615.0,3400.0,3000.0,4100.0,4
95.3,95.3,3494.0,3500.0,3536.0,3500.0,3100.0,3816.0,5
81.3,68.8,2952.0,2900.0,3166.0,3125.0,2893.0,3365.0,6
87.3,85.1,3235.0,3000.0,3377.0,3200.0,3000.0,3800.0,7
90.3,88.2,3326.0,3100.0,3374.0,3175.0,3000.0,3600.0,8
94.8,93.8,3091.0,3000.0,3182.0,3100.0,3000.0,3380.0,9
92.1,88.5,3249.0,3000.0,3306.0,3125.0,3000.0,3600.0,10
91.0,88.7,3133.0,3000.0,3187.0,3100.0,3000.0,3440.0,11
84.0,81.5,3091.0,3000.0,3140.0,3000.0,3000.0,3300.0,12
85.7,79.6,3160.0,3150.0,3203.0,3200.0,2950.0,3400.0,13
82.5,78.9,2989.0,3000.0,3096.0,3000.0,2800.0,3300.0,14
91.6,89.5,3125.0,3000.0,3226.0,3100.0,3000.0,3500.0,15
95.6,93.3,3050.0,3000.0,3111.0,3000.0,2850.0,3200.0,16
81.6,61.4,2639.0,2500.0,2638.0,2500.0,2300.0,2900.0,17
85.1,80.5,2818.0,2800.0,2924.0,3000.0,2600.0,3300.0,18
89.4,79.6,2893.0,2930.0,2956.0,3000.0,2700.0,3250.0,19
89.9,83.5,3085.0,3000.0,3148.0,3000.0,2800.0,3545.0,20
82.7,67.3,3087.0,3000.0,3179.0,3100.0,2800.0,3400.0,21
90.6,81.3,2691.0,2600.0,2725.0,2625.0,2475.0,3018.0,22
82.4,71.8,3007.0,3000.0,3061.0,3000.0,2750.0,3255.0,23
74.4,55.8,2980.0,3000.0,3082.0,3100.0,2800.0,3310.0,24
,,,,,,,,25
90.7,88.4,2840.0,2800.0,2883.0,2807.0,2700.0,3000.0,26
78.6,68.1,2881.0,2900.0,3002.0,3000.0,2700.0,3250.0,27
79.8,68.9,2993.0,3000.0,3083.0,3100.0,2800.0,3400.0,28
,,,,,,,,29
86.0,83.7,3169.0,3000.0,3262.0,3000.0,2750.0,3500.0,30
80.8,69.2,3164.0,3000.0,3208.0,3300.0,2900.0,3400.0,31
68.2,59.1,2968.0,3000.0,2985.0,3000.0,2700.0,3400.0,32
100.0,100.0,3377.0,3400.0,3478.0,3498.0,3300.0,3800.0,33
100.0,100.0,3413.0,3426.0,3506.0,3498.0,3400.0,3575.0,34
84.8,70.1,2741.0,2730.0,2888.0,2800.0,2500.0,3080.0,35
86.6,74.6,3057.0,3200.0,3154.0,3200.0,2800.0,3500.0,36
88.1,76.8,3098.0,3100.0,3210.0,3200.0,2800.0,3500.0,37
88.7,81.7,2960.0,2868.0,3062.0,3000.0,2700.0,3370.0,38
94.6,90.3,3404.0,3050.0,3512.0,3200.0,2800.0,3800.0,39
93.3,88.9,2740.0,2700.0,2922.0,2700.0,2700.0,3018.0,40
97.2,94.4,3065.0,2800.0,3143.0,2800.0,2700.0,3200.0,41
88.9,77.8,3350.0,3000.0,3377.0,3050.0,2825.0,3425.0,42
,,,,,,,,43
,,,,,,,,44
92.4,83.3,3933.0,3400.0,3953.0,3425.0,3000.0,4000.0,45
88.9,83.3,3277.0,3050.0,3320.0,3080.0,2800.0,3553.0,46
84.6,82.7,3715.0,3700.0,3911.0,3770.0,3300.0,4070.0,47
